pH,EC,W_Temp,A_Temp,Humid,CO2,Light_onoff,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Binary,Decimal_Label
12.88,1,4.85,3.34,62.58,48,1,0,0,0,0,0,1,0,0,100,4
2.73,1.35,7.7,23.99,90.06,1469,0,0,0,1,1,0,0,1,0,110010,50
10.6,0.32,21.54,25.23,76.55,315,0,0,1,0,0,0,1,0,1,1000101,69
8.94,1.46,8.97,8.17,39.68,320,0,0,0,0,0,1,1,0,0,1100,12
4.41,0.12,2.18,30.13,30.02,1144,1,0,1,1,0,1,0,1,1,1101011,107
3.61,0.39,19.54,24.48,64.14,1460,0,0,1,1,0,0,0,1,1,1100011,99
9.02,1.38,26.66,18.03,7.36,336,0,1,0,0,0,1,1,0,0,10001100,140
8.6,1.85,31.41,29.43,30.82,292,1,1,1,0,0,1,1,0,0,11001100,204
13.26,1.62,24.64,5.26,79.06,728,1,1,0,0,0,0,1,0,0,10000100,132
6.5,1.22,2.42,27.44,90.91,634,1,0,1,0,1,0,1,0,0,1010100,84
3.28,1.75,9.76,10.88,78.72,33,1,0,0,0,0,0,0,1,0,10,2
2.61,0.37,12.49,25.6,18.5,367,0,0,1,0,0,1,0,1,1,1001011,75
11.21,0.41,34.3,30,46.95,601,0,1,1,0,0,1,1,0,1,11001101,205
1.83,0.98,1.34,3.07,85.79,4,0,0,0,0,1,0,0,1,0,10010,18
2.16,0.72,0.23,25.59,42.81,237,0,0,1,0,0,1,0,1,0,1001010,74
8.03,1,9.53,8.75,45.95,830,1,0,0,0,0,1,1,0,0,1100,12
6.61,0.47,6.34,4.69,34.43,222,0,0,0,0,0,1,1,0,1,1101,13
13.31,0.79,32.11,13.77,24.28,182,1,1,0,0,0,1,1,0,0,10001100,140
5.18,0.56,19.59,1.76,14.73,610,1,0,0,0,0,1,0,1,1,1011,11
1.61,1.69,23.05,28.61,6.12,1430,0,1,1,1,0,1,0,1,0,11101010,234
2.17,0.47,24.98,11.99,36.15,1434,1,1,0,1,0,1,0,1,1,10101011,171
2.61,1.31,31.92,1.2,79.07,1234,0,1,0,1,0,0,0,1,0,10100010,162
7.14,0.08,14.26,25.85,53.23,1470,0,0,1,1,0,1,1,0,1,1101101,109
0.12,0.27,32.95,33.71,64.39,791,1,1,1,0,0,0,0,1,1,11000011,195
6.54,1.61,13.79,29.31,82.97,596,0,0,1,0,1,0,1,0,0,1010100,84
7.57,0.65,11.23,28.94,45.83,481,1,0,1,0,0,1,1,0,0,1001100,76
7.12,1.35,6.21,23.29,55.11,748,1,0,0,0,0,1,1,0,0,1100,12
13.42,0.59,30.1,30.54,49.43,1132,0,1,1,1,0,1,1,0,1,11101101,237
10.36,0.34,7.26,28.97,77.52,1421,1,0,1,1,0,0,1,0,1,1100101,101
8.43,0.95,20.96,1.19,43.73,1355,0,0,0,1,0,1,1,0,0,101100,44
3.88,1.06,17.73,26.59,37.96,529,1,0,1,0,0,1,0,1,0,1001010,74
0,1.26,14.1,18.4,7.8,558,1,0,0,0,0,1,0,1,0,1010,10
12.55,0.54,28.01,29.96,55.08,687,1,1,1,0,0,1,1,0,1,11001101,205
0.57,0.18,19.06,3.47,88.38,430,0,0,0,0,1,0,0,1,1,10011,19
10.61,1.06,34.86,22.97,39.4,1211,0,1,0,1,0,1,1,0,0,10101100,172
12.19,0.66,30.34,10.28,62.5,408,0,1,0,0,0,0,1,0,0,10000100,132
4.54,1.04,33.76,11.19,69.26,635,0,1,0,0,0,0,0,1,0,10000010,130
11,0.59,7.57,25.67,24.98,1479,1,0,1,1,0,1,1,0,1,1101101,109
3.61,1.73,10.63,31.05,57.31,729,0,0,1,0,0,1,0,1,0,1001010,74
1.68,1.49,25.9,23.07,77.06,172,1,1,0,0,0,0,0,1,0,10000010,130
4.6,0.62,2.89,16.4,48.65,146,1,0,0,0,0,1,0,1,0,1010,10
12.53,1.32,23.6,5.54,0.09,149,1,1,0,0,0,1,1,0,0,10001100,140
12.4,0.8,5.77,21.88,46.98,1035,0,0,0,1,0,1,1,0,0,101100,44
8.68,1.7,7.17,25.11,44.01,1278,0,0,1,1,0,1,1,0,0,1101100,108
1.85,1.72,31.75,0.98,58.57,1480,0,1,0,1,0,1,0,1,0,10101010,170
13.37,0.56,8.8,1.37,10.22,798,1,0,0,0,0,1,1,0,1,1101,13
12.13,1.91,19.8,10.76,92.35,876,1,0,0,0,1,0,1,0,0,10100,20
2.14,0.15,16.55,30.68,34.32,454,1,0,1,0,0,1,0,1,1,1001011,75
12.62,1.67,27.37,19.32,1.92,1433,0,1,0,1,0,1,1,0,0,10101100,172
5.83,1.88,21.46,20.45,35.74,86,0,0,0,0,0,1,1,0,0,1100,12
3.82,1.8,7.63,15.72,16.99,217,0,0,0,0,0,1,0,1,0,1010,10
13.94,0.09,22.46,2.94,65.67,1411,0,1,0,1,0,0,1,0,1,10100101,165
3.52,1.59,5.17,34.49,47.64,493,1,0,1,0,0,1,0,1,0,1001010,74
3.08,0.53,18.26,34.89,81.83,1461,0,0,1,1,1,0,0,1,1,1110011,115
6.74,1.93,26.47,14.22,76.54,1065,0,1,0,1,0,0,1,0,0,10100100,164
8.57,0.8,24.06,19.59,1.83,1,0,1,0,0,0,1,1,0,0,10001100,140
6.53,1.43,0.73,30.96,0.6,979,0,0,1,0,0,1,1,0,0,1001100,76
7.88,1.15,24.75,8.59,15.36,62,0,1,0,0,0,1,1,0,0,10001100,140
3.99,1.18,17.25,8.89,69.99,178,1,0,0,0,0,0,0,1,0,10,2
1.03,0.56,23.51,27.26,48.04,729,0,1,1,0,0,1,0,1,1,11001011,203
3.89,1.92,21.87,8.51,58.15,1015,1,0,0,1,0,1,0,1,0,101010,42
6.19,0.65,32.24,6.35,89.26,1298,0,1,0,1,1,0,1,0,0,10110100,180
3.24,1.84,26.18,7.72,53.28,688,0,1,0,0,0,1,0,1,0,10001010,138
1.79,1.28,18.06,27.71,99.88,152,0,0,1,0,1,0,0,1,0,1010010,82
5.9,1.21,27.75,21.59,49.97,130,1,1,0,0,0,1,1,0,0,10001100,140
10,0.94,20.27,33.45,54.98,651,1,0,1,0,0,1,1,0,0,1001100,76
4.54,0.69,2.26,28.99,26.72,637,1,0,1,0,0,1,0,1,0,1001010,74
3.48,1.64,15.26,33.86,74.44,88,1,0,1,0,0,0,0,1,0,1000010,66
8.5,0.22,19.43,13.22,66.56,1151,0,0,0,1,0,0,1,0,1,100101,37
0.55,1.02,32.5,25.89,34.21,143,1,1,1,0,0,1,0,1,0,11001010,202
