pH,EC,W_Temp,A_Temp,Humid,CO2,Light_On_Off,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Distilled_Water_Dozer,Binary,Decimal_Label
5.56,1.06,25.66,19.46,89.0,1002,1,1,0,1,1,0,0,1,0,0,1101100100,868
6.77,1.22,20.38,25.56,82.7,606,0,0,1,0,1,0,1,0,0,1,0010101001,169
7.15,1.27,16.51,16.44,83.4,917,0,0,0,0,1,0,1,0,0,1,0000101001,41
5.65,0.77,17.54,21.04,60.3,466,1,0,0,0,0,0,0,1,0,0,1000000100,516
6.57,0.96,17.97,23.69,80.1,694,0,0,0,0,1,0,1,0,0,0,0000101000,40
7.01,0.66,20.8,27.8,71.4,977,1,0,1,0,0,0,1,0,0,0,1010001000,648
5.64,0.48,17.92,15.01,61.9,1119,0,0,0,1,0,0,0,1,1,0,0001000110,70
7.13,0.72,18.55,17.68,70.8,631,0,0,0,0,0,0,1,0,0,0,0000001000,8
6.83,0.41,18.96,20.54,78.1,931,0,0,0,0,0,0,1,0,1,0,0000001010,10
6.52,0.97,23.63,27.42,71.5,924,0,1,1,0,0,0,1,0,0,0,0110001000,392
6.58,1.12,21.78,26.17,58.2,530,1,0,1,0,0,1,1,0,0,0,1010011000,664
5.59,0.43,21.63,21.95,73.7,441,1,0,0,0,0,0,0,1,1,0,1000000110,518
7.16,0.96,17.87,17.3,83.0,700,1,0,0,0,1,0,1,0,0,0,1000101000,552
5.37,0.51,21.34,23.6,85.3,439,0,0,0,0,1,0,0,1,1,0,0000100110,38
5.84,1.23,20.91,21.26,76.3,699,0,0,0,0,0,0,0,0,0,1,0000000001,1
6.22,1.44,19.03,22.12,61.4,489,0,0,0,0,0,0,0,0,0,1,0000000001,1
5.68,1.5,15.15,22.69,68.5,1154,0,0,0,1,0,0,0,1,0,1,0001000101,69
6.93,1.38,25.92,20.11,67.3,691,1,1,0,0,0,0,1,0,0,1,1100001001,777
5.84,0.57,17.41,19.62,88.3,610,0,0,0,0,1,0,0,0,1,0,0000100010,34
5.83,0.45,21.13,15.97,80.1,1065,0,0,0,1,1,0,0,0,1,0,0001100010,98
5.75,0.79,17.24,23.2,57.3,409,0,0,0,0,0,1,0,1,0,0,0000010100,20
6.66,1.17,18.42,26.83,61.7,1116,0,0,1,1,0,0,1,0,0,0,0011001000,200
6.86,0.52,25.54,16.7,73.2,935,1,1,0,0,0,0,1,0,1,0,1100001010,778
6.2,0.81,17.04,22.64,89.6,834,1,0,0,0,1,0,0,0,0,0,1000100000,544
5.62,0.76,22.35,25.95,70.0,780,1,1,1,0,0,0,0,1,0,0,1110000100,900
6.27,1.22,19.28,21.72,80.6,755,1,0,0,0,1,0,0,0,0,1,1000100001,545
6.66,0.82,16.62,25.52,68.9,411,1,0,1,0,0,0,1,0,0,0,1010001000,648
6.58,0.94,16.59,20.21,58.8,413,0,0,0,0,0,1,1,0,0,0,0000011000,24
6.78,1.29,25.51,23.43,85.0,406,0,1,0,0,1,0,1,0,0,1,0100101001,297
5.36,1.23,21.94,15.95,55.2,995,0,0,0,0,0,1,0,1,0,1,0000010101,21
6.67,0.67,17.07,28.7,70.5,754,0,0,1,0,0,0,1,0,0,0,0010001000,136
6.71,0.57,15.35,23.82,64.3,1015,0,0,0,1,0,0,1,0,1,0,0001001010,74
5.98,1.44,21.15,16.06,86.7,818,1,0,0,0,1,0,0,0,0,1,1000100001,545
6.99,1.36,15.12,21.24,56.0,1147,1,0,0,1,0,1,1,0,0,1,1001011001,601
5.32,0.67,20.82,16.01,56.6,1189,1,0,0,1,0,1,0,1,0,0,1001010100,596
6.2,1.05,20.8,26.64,70.8,774,1,0,1,0,0,0,0,0,0,0,1010000000,640
5.92,0.71,25.78,25.57,60.5,711,0,1,1,0,0,0,0,0,0,0,0110000000,384
6.95,1.15,24.76,25.06,79.5,985,1,1,1,0,0,0,1,0,0,0,1110001000,904
6.06,0.83,23.44,28.9,70.5,1164,1,1,1,1,0,0,0,0,0,0,1111000000,960
6.77,0.75,16.06,17.34,82.6,1062,1,0,0,1,1,0,1,0,0,0,1001101000,616
